round, agent, produces, commodity_stock, cs_amount, minPriceBelief, maxPriceBelief

1, 0, Food, Wood, 9.753976, 1.01228, 2.024559
1, 0, Food, Food, 0, 0.9855, 1.971
1, 0, Food, cash, 107.1901
1, 1, Food, Wood, 11.12767, 1.03742, 2.074839
1, 1, Food, Food, 0, 1.032965, 2.06593
1, 1, Food, cash, 109.1486
1, 2, Food, Wood, 13.76375, 1.03742, 2.074839
1, 2, Food, Food, 0, 0.9855, 1.971
1, 2, Food, cash, 107.817
1, 3, Food, Wood, 16.56364, 1.03742, 2.074839
1, 3, Food, Food, 0, 0.9855, 1.971
1, 3, Food, cash, 107.8091
1, 4, Food, Wood, 13.20028, 1.03742, 2.074839
1, 4, Food, Food, 0, 0.9781087, 1.956217
1, 4, Food, cash, 107.9709
1, 5, Food, Wood, 14.49118, 1.03742, 2.074839
1, 5, Food, Food, 0, 1.034201, 2.068401
1, 5, Food, cash, 109.198
1, 6, Food, Wood, 15.53397, 1.03742, 2.074839
1, 6, Food, Food, 0, 1.026533, 2.053066
1, 6, Food, cash, 109.1969
1, 7, Food, Wood, 20, 0.9712464, 1.942493
1, 7, Food, Food, 0, 0.9855, 1.971
1, 7, Food, cash, 86.35012
1, 8, Food, Wood, 10.24965, 1.03742, 2.074839
1, 8, Food, Food, 0, 0.9781087, 1.956217
1, 8, Food, cash, 107.8073
1, 9, Food, Wood, 20, 0.9712464, 1.942493
1, 9, Food, Food, 0, 1.032922, 2.065843
1, 9, Food, cash, 82.46029
1, 10, Food, Wood, 20, 0.9726138, 1.945228
1, 10, Food, Food, 0, 1.026618, 2.053236
1, 10, Food, cash, 91.76959
1, 11, Food, Wood, 17.4463, 1.03742, 2.074839
1, 11, Food, Food, 0, 0.9855, 1.971
1, 11, Food, cash, 108.3838
1, 12, Food, Wood, 20, 0.9726138, 1.945228
1, 12, Food, Food, 0, 0.9855, 1.971
1, 12, Food, cash, 92.78809
1, 13, Food, Wood, 7.272731, 1.03742, 2.074839
1, 13, Food, Food, 0, 0.9781087, 1.956217
1, 13, Food, cash, 108.3351
1, 14, Food, Wood, 20, 0.9744408, 1.948882
1, 14, Food, Food, 0, 0.9781087, 1.956217
1, 14, Food, cash, 98.12122
1, 15, Food, Wood, 13.96634, 1.03742, 2.074839
1, 15, Food, Food, 0, 0.9855, 1.971
1, 15, Food, cash, 108.6539
1, 16, Food, Wood, 11.45988, 1.03742, 2.074839
1, 16, Food, Food, 0, 0.9781087, 1.956217
1, 16, Food, cash, 107.5991
1, 17, Food, Wood, 20, 0.9781087, 1.956217
1, 17, Food, Food, 0, 1.020618, 2.041236
1, 17, Food, cash, 103.4164
1, 18, Food, Wood, 6.665786, 1.03742, 2.074839
1, 18, Food, Food, 0, 1.041895, 2.083789
1, 18, Food, cash, 109.5058
1, 19, Food, Wood, 3.301205, 1.03742, 2.074839
1, 19, Food, Food, 0, 0.9781087, 1.956217
1, 19, Food, cash, 108.4896
1, 20, Wood, Food, 13.19596, 1.045765, 2.091531
1, 20, Wood, Tool, 14.09596, 1.03635, 2.072699
1, 20, Wood, Wood, 0, 0.9855, 1.971
1, 20, Wood, cash, 4.464924
1, 21, Wood, Food, 11.13861, 1.045765, 2.091531
1, 21, Wood, Tool, 12.03861, 1.03635, 2.072699
1, 21, Wood, Wood, 0, 0.9855, 1.971
1, 21, Wood, cash, 5.05912
1, 22, Wood, Food, 19.91926, 1.010897, 2.021793
1, 22, Wood, Tool, 14.01002, 1.03635, 2.072699
1, 22, Wood, Wood, 0, 0.9855, 1.971
1, 22, Wood, cash, -7.542165
1, 23, Wood, Food, 15.58181, 1.045765, 2.091531
1, 23, Wood, Tool, 16.48181, 1.03635, 2.072699
1, 23, Wood, Wood, 0, 0.9781087, 1.956217
1, 23, Wood, cash, 5.048679
1, 24, Wood, Food, 9.2901, 1.045765, 2.091531
1, 24, Wood, Tool, 10.1901, 1.03635, 2.072699
1, 24, Wood, Wood, 0, 0.9855, 1.971
1, 24, Wood, cash, 4.655493
1, 25, Wood, Food, 16.14346, 1.045765, 2.091531
1, 25, Wood, Tool, 17.04346, 1.03635, 2.072699
1, 25, Wood, Wood, 0, 0.9855, 1.971
1, 25, Wood, cash, 5.012362
1, 26, Wood, Food, 12.17193, 1.045765, 2.091531
1, 26, Wood, Tool, 13.07193, 1.03635, 2.072699
1, 26, Wood, Wood, 0, 0.9855, 1.971
1, 26, Wood, cash, 5.427443
1, 27, Wood, Food, 15.08068, 1.045765, 2.091531
1, 27, Wood, Tool, 15.98068, 1.03635, 2.072699
1, 27, Wood, Wood, 0, 0.9855, 1.971
1, 27, Wood, cash, 4.395655
1, 28, Wood, Food, 10.32947, 1.045765, 2.091531
1, 28, Wood, Tool, 15.06229, 0.9942602, 1.98852
1, 28, Wood, Wood, 0, 1.024274, 2.048549
1, 28, Wood, cash, -1.060562
1, 29, Wood, Food, 11.36025, 1.045765, 2.091531
1, 29, Wood, Tool, 20, 0.9708481, 1.941696
1, 29, Wood, Wood, 0, 0.9855, 1.971
1, 29, Wood, cash, -8.057205
1, 30, Wood, Food, 20, 0.9744408, 1.948882
1, 30, Wood, Tool, 9.085089, 1.03635, 2.072699
1, 30, Wood, Wood, 0, 0.9855, 1.971
1, 30, Wood, cash, -16.70914
1, 31, Wood, Food, 5.574088, 1.045765, 2.091531
1, 31, Wood, Tool, 6.474088, 1.03635, 2.072699
1, 31, Wood, Wood, 0, 0.9781087, 1.956217
1, 31, Wood, cash, 4.406778
1, 32, Wood, Food, 5.679707, 1.045765, 2.091531
1, 32, Wood, Tool, 6.579707, 1.03635, 2.072699
1, 32, Wood, Wood, 0, 0.9855, 1.971
1, 32, Wood, cash, 5.123837
1, 33, Wood, Food, 9.681899, 1.045765, 2.091531
1, 33, Wood, Tool, 10.5819, 1.03635, 2.072699
1, 33, Wood, Wood, 0, 0.9855, 1.971
1, 33, Wood, cash, 4.499187
1, 34, Wood, Food, 10.67257, 1.045765, 2.091531
1, 34, Wood, Tool, 20, 0.9708481, 1.941696
1, 34, Wood, Wood, 0, 0.9781087, 1.956217
1, 34, Wood, cash, -7.53515
1, 35, Wood, Food, 9.482114, 1.045765, 2.091531
1, 35, Wood, Tool, 10.38211, 1.03635, 2.072699
1, 35, Wood, Wood, 0, 0.9855, 1.971
1, 35, Wood, cash, 5.063811
1, 36, Wood, Food, 15.10142, 1.045765, 2.091531
1, 36, Wood, Tool, 16.00142, 1.03635, 2.072699
1, 36, Wood, Wood, 0, 0.9781087, 1.956217
1, 36, Wood, cash, 4.602231
1, 37, Wood, Food, 14.94377, 1.045765, 2.091531
1, 37, Wood, Tool, 15.84377, 1.03635, 2.072699
1, 37, Wood, Wood, 0, 0.9855, 1.971
1, 37, Wood, cash, 5.069052
1, 38, Wood, Food, 20, 0.9855, 1.971
1, 38, Wood, Tool, 17.44101, 1.03635, 2.072699
1, 38, Wood, Wood, 0, 0.9855, 1.971
1, 38, Wood, cash, -0.6212351
1, 39, Wood, Food, 20, 0.9744408, 1.948882
1, 39, Wood, Tool, 9.725942, 1.03635, 2.072699
1, 39, Wood, Wood, 0, 0.9781087, 1.956217
1, 39, Wood, cash, -13.63171
1, 40, Ore, Food, 7.782293, 1.045765, 2.091531
1, 40, Ore, Ore, 0, 0.9855, 1.971
1, 40, Ore, cash, 3.367832
1, 41, Ore, Food, 7.485245, 1.045765, 2.091531
1, 41, Ore, Ore, 0, 0.9855, 1.971
1, 41, Ore, cash, 3.437692
1, 42, Ore, Food, 6.039083, 1.045765, 2.091531
1, 42, Ore, Ore, 0, 0.9781087, 1.956217
1, 42, Ore, cash, 3.339999
1, 43, Ore, Food, 16.76701, 1.045765, 2.091531
1, 43, Ore, Ore, 0, 0.9855, 1.971
1, 43, Ore, cash, 3.41155
1, 44, Ore, Food, 5.843392, 1.045765, 2.091531
1, 44, Ore, Ore, 0, 0.9855, 1.971
1, 44, Ore, cash, 3.158334
1, 45, Ore, Food, 4.612966, 1.045765, 2.091531
1, 45, Ore, Ore, 0, 0.9781087, 1.956217
1, 45, Ore, cash, 3.073951
1, 46, Ore, Food, 15.31331, 1.045765, 2.091531
1, 46, Ore, Ore, 0, 0.9855, 1.971
1, 46, Ore, cash, 3.201198
1, 47, Ore, Food, 5.775378, 1.045765, 2.091531
1, 47, Ore, Ore, 0, 0.9855, 1.971
1, 47, Ore, cash, 3.106995
1, 48, Ore, Food, 5.88114, 1.045765, 2.091531
1, 48, Ore, Ore, 0, 0.9781087, 1.956217
1, 48, Ore, cash, 3.092986
1, 49, Ore, Food, 8.155023, 1.045765, 2.091531
1, 49, Ore, Ore, 0, 0.9855, 1.971
1, 49, Ore, cash, 3.433868
1, 50, Ore, Food, 13.6266, 1.045765, 2.091531
1, 50, Ore, Ore, 0, 0.9855, 1.971
1, 50, Ore, cash, 3.597741
1, 51, Ore, Food, 5.951655, 1.045765, 2.091531
1, 51, Ore, Ore, 0, 0.9855, 1.971
1, 51, Ore, cash, 3.400078
1, 52, Ore, Food, 17.06556, 1.045765, 2.091531
1, 52, Ore, Ore, 0, 0.9855, 1.971
1, 52, Ore, cash, 3.300233
1, 53, Ore, Food, 13.1605, 1.045765, 2.091531
1, 53, Ore, Ore, 0, 0.9855, 1.971
1, 53, Ore, cash, 3.395203
1, 54, Ore, Food, 5.645355, 1.045765, 2.091531
1, 54, Ore, Ore, 0, 0.9781087, 1.956217
1, 54, Ore, cash, 3.301383
1, 55, Ore, Food, 7.234317, 1.045765, 2.091531
1, 55, Ore, Ore, 0, 0.9855, 1.971
1, 55, Ore, cash, 3.116687
1, 56, Ore, Food, 14.55152, 1.045765, 2.091531
1, 56, Ore, Ore, 0, 0.9855, 1.971
1, 56, Ore, cash, 3.077467
1, 57, Ore, Food, 9.907855, 1.045765, 2.091531
1, 57, Ore, Ore, 0, 1.034277, 2.068554
1, 57, Ore, cash, 3.680432
1, 58, Ore, Food, 10.6213, 1.045765, 2.091531
1, 58, Ore, Ore, 0, 0.9855, 1.971
