round, agent, produces, commodity_stock, type, cs_amount, ,$
,$
1, 0, Food, Wood, stock, 6.263805,$
1, 0, Food, Wood, minPriceBelief, 1.035464,$
1, 0, Food, Wood, maxPriceBelief, 2.070928,$
1, 0, Food, Food, stock, 0,$
1, 0, Food, Food, minPriceBelief, 0.9855,$
1, 0, Food, Food, maxPriceBelief, 1.971,$
1, 0, Food, cash, stock, 108.4759,$
1, 1, Food, Wood, stock, 14.33308,$
1, 1, Food, Wood, minPriceBelief, 1.035464,$
1, 1, Food, Wood, maxPriceBelief, 2.070928,$
1, 1, Food, Food, stock, 0,$
1, 1, Food, Food, minPriceBelief, 0.9781087,$
1, 1, Food, Food, maxPriceBelief, 1.956217,$
1, 1, Food, cash, stock, 107.5033,$
1, 2, Food, Wood, stock, 6.072174,$
1, 2, Food, Wood, minPriceBelief, 1.035464,$
1, 2, Food, Wood, maxPriceBelief, 2.070928,$
1, 2, Food, Food, stock, 0,$
1, 2, Food, Food, minPriceBelief, 1.034697,$
1, 2, Food, Food, maxPriceBelief, 2.069395,$
1, 2, Food, cash, stock, 109.2179,$
1, 3, Food, Wood, stock, 20,$
1, 3, Food, Wood, minPriceBelief, 0.9726138,$
1, 3, Food, Wood, maxPriceBelief, 1.945228,$
1, 3, Food, Food, stock, 0,$
1, 3, Food, Food, minPriceBelief, 0.9781087,$
1, 3, Food, Food, maxPriceBelief, 1.956217,$
1, 3, Food, cash, stock, 95.4132,$
1, 4, Food, Wood, stock, 3.749488,$
1, 4, Food, Wood, minPriceBelief, 1.035464,$
1, 4, Food, Wood, maxPriceBelief, 2.070928,$
1, 4, Food, Food, stock, 0,$
1, 4, Food, Food, minPriceBelief, 0.9855,$
1, 4, Food, Food, maxPriceBelief, 1.971,$
1, 4, Food, cash, stock, 108.5886,$
1, 5, Food, Wood, stock, 6.388561,$
1, 5, Food, Wood, minPriceBelief, 1.035464,$
1, 5, Food, Wood, maxPriceBelief, 2.070928,$
1, 5, Food, Food, stock, 0,$
1, 5, Food, Food, minPriceBelief, 0.9781087,$
1, 5, Food, Food, maxPriceBelief, 1.956217,$
1, 5, Food, cash, stock, 108.3093,$
1, 6, Food, Wood, stock, 8.016193,$
1, 6, Food, Wood, minPriceBelief, 1.035464,$
1, 6, Food, Wood, maxPriceBelief, 2.070928,$
1, 6, Food, Food, stock, 0,$
1, 6, Food, Food, minPriceBelief, 0.9781087,$
1, 6, Food, Food, maxPriceBelief, 1.956217,$
1, 6, Food, cash, stock, 107.5103,$
1, 7, Food, Wood, stock, 17.01409,$
1, 7, Food, Wood, minPriceBelief, 1.035464,$
1, 7, Food, Wood, maxPriceBelief, 2.070928,$
1, 7, Food, Food, stock, 0,$
1, 7, Food, Food, minPriceBelief, 1.026003,$
1, 7, Food, Food, maxPriceBelief, 2.052006,$
1, 7, Food, cash, stock, 109.1532,$
1, 8, Food, Wood, stock, 14.26394,$
1, 8, Food, Wood, minPriceBelief, 1.035464,$
1, 8, Food, Wood, maxPriceBelief, 2.070928,$
1, 8, Food, Food, stock, 0,$
1, 8, Food, Food, minPriceBelief, 0.9855,$
1, 8, Food, Food, maxPriceBelief, 1.971,$
1, 8, Food, cash, stock, 108.2438,$
1, 9, Food, Wood, stock, 20,$
1, 9, Food, Wood, minPriceBelief, 0.9712464,$
1, 9, Food, Wood, maxPriceBelief, 1.942493,$
1, 9, Food, Food, stock, 0,$
1, 9, Food, Food, minPriceBelief, 0.9855,$
1, 9, Food, Food, maxPriceBelief, 1.971,$
1, 9, Food, cash, stock, 83.89765,$
1, 10, Food, Wood, stock, 12.66831,$
1, 10, Food, Wood, minPriceBelief, 1.035464,$
1, 10, Food, Wood, maxPriceBelief, 2.070928,$
1, 10, Food, Food, stock, 0,$
1, 10, Food, Food, minPriceBelief, 0.9781087,$
1, 10, Food, Food, maxPriceBelief, 1.956217,$
1, 10, Food, cash, stock, 108.6321,$
1, 11, Food, Wood, stock, 20,$
1, 11, Food, Wood, minPriceBelief, 0.9744408,$
1, 11, Food, Wood, maxPriceBelief, 1.948882,$
1, 11, Food, Food, stock, 0,$
1, 11, Food, Food, minPriceBelief, 0.9855,$
1, 11, Food, Food, maxPriceBelief, 1.971,$
1, 11, Food, cash, stock, 99.23526,$
1, 12, Food, Wood, stock, 11.15733,$
1, 12, Food, Wood, minPriceBelief, 0.995774,$
1, 12, Food, Wood, maxPriceBelief, 1.991548,$
1, 12, Food, Food, stock, 0,$
1, 12, Food, Food, minPriceBelief, 0.9744408,$
1, 12, Food, Food, maxPriceBelief, 1.948882,$
1, 12, Food, cash, stock, 95.0364,$
1, 13, Food, Wood, stock, 17.30595,$
1, 13, Food, Wood, minPriceBelief, 1.035464,$
1, 13, Food, Wood, maxPriceBelief, 2.070928,$
1, 13, Food, Food, stock, 0,$
1, 13, Food, Food, minPriceBelief, 0.9781087,$
1, 13, Food, Food, maxPriceBelief, 1.956217,$
1, 13, Food, cash, stock, 108.0572,$
1, 14, Food, Wood, stock, 15.75743,$
1, 14, Food, Wood, minPriceBelief, 1.035464,$
1, 14, Food, Wood, maxPriceBelief, 2.070928,$
1, 14, Food, Food, stock, 0,$
1, 14, Food, Food, minPriceBelief, 0.9855,$
1, 14, Food, Food, maxPriceBelief, 1.971,$
1, 14, Food, cash, stock, 107.8013,$
1, 15, Food, Wood, stock, 15.32381,$
1, 15, Food, Wood, minPriceBelief, 1.035464,$
1, 15, Food, Wood, maxPriceBelief, 2.070928,$
1, 15, Food, Food, stock, 0,$
1, 15, Food, Food, minPriceBelief, 0.9781087,$
1, 15, Food, Food, maxPriceBelief, 1.956217,$
1, 15, Food, cash, stock, 107.2654,$
1, 16, Food, Wood, stock, 7.28351,$
1, 16, Food, Wood, minPriceBelief, 1.035464,$
1, 16, Food, Wood, maxPriceBelief, 2.070928,$
1, 16, Food, Food, stock, 0,$
1, 16, Food, Food, minPriceBelief, 0.9781087,$
1, 16, Food, Food, maxPriceBelief, 1.956217,$
1, 16, Food, cash, stock, 108.9171,$
1, 17, Food, Wood, stock, 3.525686,$
1, 17, Food, Wood, minPriceBelief, 1.035464,$
1, 17, Food, Wood, maxPriceBelief, 2.070928,$
1, 17, Food, Food, stock, 0,$
1, 17, Food, Food, minPriceBelief, 1.02511,$
1, 17, Food, Food, maxPriceBelief, 2.050219,$
1, 17, Food, cash, stock, 109.031,$
1, 18, Food, Wood, stock, 20,$
1, 18, Food, Wood, minPriceBelief, 0.9726138,$
1, 18, Food, Wood, maxPriceBelief, 1.945228,$
1, 18, Food, Food, stock, 0,$
1, 18, Food, Food, minPriceBelief, 0.9855,$
1, 18, Food, Food, maxPriceBelief, 1.971,$
1, 18, Food, cash, stock, 91.17594,$
1, 19, Food, Wood, stock, 20,$
1, 19, Food, Wood, minPriceBelief, 0.9717019,$
1, 19, Food, Wood, maxPriceBelief, 1.943404,$
1, 19, Food, Food, stock, 0,$
1, 19, Food, Food, minPriceBelief, 0.9855,$
1, 19, Food, Food, maxPriceBelief, 1.971,$
1, 19, Food, cash, stock, 86.53222,$
1, 20, Wood, Food, stock, 18.48781,$
1, 20, Wood, Food, minPriceBelief, 1.039574,$
1, 20, Wood, Food, maxPriceBelief, 2.079149,$
1, 20, Wood, Tool, stock, 19.38781,$
1, 20, Wood, Tool, minPriceBelief, 1.038769,$
1, 20, Wood, Tool, maxPriceBelief, 2.077538,$
1, 20, Wood, Wood, stock, 0,$
1, 20, Wood, Wood, minPriceBelief, 0.9781087,$
1, 20, Wood, Wood, maxPriceBelief, 1.956217,$
1, 20, Wood, cash, stock, 4.670076,$
