round, agent, produces, commodity_stock, type, cs_amount
1, 0, Food, Wood, stock, 14.78091
1, 0, Food, Wood, minPriceBelief, 1.033197
1, 0, Food, Wood, maxPriceBelief, 2.066393
1, 0, Food, Food, stock, 0
1, 0, Food, Food, minPriceBelief, 1
1, 0, Food, Food, maxPriceBelief, 1.97
1, 0, Food, cash, stock, 101.7953
1, 0, Food, profit, stock, 1.795258
1, 1, Food, Wood, stock, 17.49963
1, 1, Food, Wood, minPriceBelief, 1.033197
1, 1, Food, Wood, maxPriceBelief, 2.066393
1, 1, Food, Food, stock, 0
1, 1, Food, Food, minPriceBelief, 1
1, 1, Food, Food, maxPriceBelief, 1.97
1, 1, Food, cash, stock, 101.704
1, 1, Food, profit, stock, 1.703987
1, 2, Food, Wood, stock, 16.01542
1, 2, Food, Wood, minPriceBelief, 1.033197
1, 2, Food, Wood, maxPriceBelief, 2.066393
1, 2, Food, Food, stock, 0
1, 2, Food, Food, minPriceBelief, 1
1, 2, Food, Food, maxPriceBelief, 1.97
1, 2, Food, cash, stock, 101.6365
1, 2, Food, profit, stock, 1.636543
1, 3, Food, Wood, stock, 19.69613
1, 3, Food, Wood, minPriceBelief, 1
1, 3, Food, Wood, maxPriceBelief, 1.947762
1, 3, Food, Food, stock, 0
1, 3, Food, Food, minPriceBelief, 1
1, 3, Food, Food, maxPriceBelief, 1.97
1, 3, Food, cash, stock, 96.39928
1, 3, Food, profit, stock, -3.600716
1, 4, Food, Wood, stock, 10.35871
1, 4, Food, Wood, minPriceBelief, 1.033197
1, 4, Food, Wood, maxPriceBelief, 2.066393
1, 4, Food, Food, stock, 0
1, 4, Food, Food, minPriceBelief, 1
1, 4, Food, Food, maxPriceBelief, 1.97
1, 4, Food, cash, stock, 101.8153
1, 4, Food, profit, stock, 1.815292
1, 5, Food, Wood, stock, 16.42472
1, 5, Food, Wood, minPriceBelief, 1.033197
1, 5, Food, Wood, maxPriceBelief, 2.066393
1, 5, Food, Food, stock, 0
1, 5, Food, Food, minPriceBelief, 1
1, 5, Food, Food, maxPriceBelief, 1.97
1, 5, Food, cash, stock, 101.8079
1, 5, Food, profit, stock, 1.807869
1, 6, Food, Wood, stock, 10.35078
1, 6, Food, Wood, minPriceBelief, 1.033197
1, 6, Food, Wood, maxPriceBelief, 2.066393
1, 6, Food, Food, stock, 0
1, 6, Food, Food, minPriceBelief, 1
1, 6, Food, Food, maxPriceBelief, 1.97
1, 6, Food, cash, stock, 101.6379
1, 6, Food, profit, stock, 1.637878
1, 7, Food, Wood, stock, 7.628864
1, 7, Food, Wood, minPriceBelief, 1.012497
1, 7, Food, Wood, maxPriceBelief, 2.024993
1, 7, Food, Food, stock, 0
1, 7, Food, Food, minPriceBelief, 1
1, 7, Food, Food, maxPriceBelief, 1.97
1, 7, Food, cash, stock, 99.76745
1, 7, Food, profit, stock, -0.2325516
1, 8, Food, Wood, stock, 19.33934
1, 8, Food, Wood, minPriceBelief, 1
1, 8, Food, Wood, maxPriceBelief, 1.940403
1, 8, Food, Food, stock, 0
1, 8, Food, Food, minPriceBelief, 1
1, 8, Food, Food, maxPriceBelief, 1.97
1, 8, Food, cash, stock, 78.80037
1, 8, Food, profit, stock, -21.19963
1, 9, Food, Wood, stock, 19.95086
1, 9, Food, Wood, minPriceBelief, 1
1, 9, Food, Wood, maxPriceBelief, 1.95515
1, 9, Food, Food, stock, 0
1, 9, Food, Food, minPriceBelief, 1
1, 9, Food, Food, maxPriceBelief, 1.97
1, 9, Food, cash, stock, 98.76038
1, 9, Food, profit, stock, -1.239616
1, 10, Food, Wood, stock, 10.13666
1, 10, Food, Wood, minPriceBelief, 1.033197
1, 10, Food, Wood, maxPriceBelief, 2.066393
1, 10, Food, Food, stock, 0
1, 10, Food, Food, minPriceBelief, 1.035032
1, 10, Food, Food, maxPriceBelief, 2.070064
1, 10, Food, cash, stock, 101.9003
1, 10, Food, profit, stock, 1.900253
1, 11, Food, Wood, stock, 6.716619
1, 11, Food, Wood, minPriceBelief, 1.033197
1, 11, Food, Wood, maxPriceBelief, 2.066393
1, 11, Food, Food, stock, 0
1, 11, Food, Food, minPriceBelief, 1
1, 11, Food, Food, maxPriceBelief, 1.97
1, 11, Food, cash, stock, 101.6007
1, 11, Food, profit, stock, 1.600731
1, 12, Food, Wood, stock, 9.673519
1, 12, Food, Wood, minPriceBelief, 1.033197
1, 12, Food, Wood, maxPriceBelief, 2.066393
1, 12, Food, Food, stock, 0
1, 12, Food, Food, minPriceBelief, 1
1, 12, Food, Food, maxPriceBelief, 1.97
1, 12, Food, cash, stock, 101.6512
1, 12, Food, profit, stock, 1.651161
1, 13, Food, Wood, stock, 15.78419
1, 13, Food, Wood, minPriceBelief, 1.033197
1, 13, Food, Wood, maxPriceBelief, 2.066393
1, 13, Food, Food, stock, 0
1, 13, Food, Food, minPriceBelief, 1
1, 13, Food, Food, maxPriceBelief, 1.97
1, 13, Food, cash, stock, 101.5806
1, 13, Food, profit, stock, 1.580551
1, 14, Food, Wood, stock, 13.65206
1, 14, Food, Wood, minPriceBelief, 1.033197
1, 14, Food, Wood, maxPriceBelief, 2.066393
1, 14, Food, Food, stock, 0
1, 14, Food, Food, minPriceBelief, 1
1, 14, Food, Food, maxPriceBelief, 1.97
1, 14, Food, cash, stock, 101.5978
1, 14, Food, profit, stock, 1.597801
1, 15, Food, Wood, stock, 13.34954
1, 15, Food, Wood, minPriceBelief, 1.033197
